char_id,vn_id,role
938,1483,primary
939,10,primary
939,70,main
939,1542,side
940,10,main
941,70,main
942,1912,primary
947,1483,primary
948,1483,primary
949,1266,primary
950,1266,main
951,1266,primary
952,1266,primary
953,1266,primary
954,963,main
955,963,primary
956,963,primary
957,963,primary
958,963,primary
959,963,primary
960,963,primary
961,963,primary
962,963,primary
977,1912,primary
978,481,main
979,481,main
980,481,primary
981,481,primary
982,481,primary
983,481,primary
984,1002,primary
985,1002,primary
986,1002,primary
987,1002,primary
988,1002,primary
989,71,primary
990,71,primary
991,71,primary
992,71,primary
993,42,main
994,42,primary
995,42,primary
996,42,primary
997,42,side
998,42,side
999,42,side
1000,42,side
1001,19,primary
1002,19,side
1003,42,side
1004,42,side
1005,1321,primary
1006,1321,primary
1007,1912,primary
1008,231,side
1008,234,side
1009,1699,primary
1010,1699,primary
1011,1699,primary
1012,1699,primary
1013,1699,primary
1016,1912,side
1017,187,primary
1017,984,primary
1018,187,primary
1018,984,primary
1019,187,primary
1019,984,primary
1020,187,primary
1020,984,primary
1021,187,primary
1021,984,primary
1022,130,main
1023,130,main
1024,130,primary
1025,130,primary
1026,130,primary
1027,130,primary
1028,130,side
1029,130,side
1030,101,primary
1031,101,primary
1032,101,primary
1033,101,primary
1034,101,main
1035,101,primary
1036,101,primary
1037,101,primary
1038,1912,primary
1046,1912,primary
1051,1912,appears
1053,1081,primary
1065,1912,appears
1074,1489,primary
1075,1489,primary
1076,1489,primary
1077,1489,primary
1078,1489,primary
1079,861,appears
1080,530,primary
1080,1210,primary
1081,530,primary
1081,1210,primary
1082,530,primary
1082,1210,primary
1083,530,primary
1083,1210,primary
1084,530,primary
1084,1210,primary
1089,530,main
1089,1210,main
1090,1310,main
1091,1310,main
1092,1310,side
1093,1310,side
1094,1456,primary
1095,1456,primary
1096,1456,primary
1097,1456,primary
1098,1456,primary
1099,1456,appears
1100,1456,main
1101,14,appears
1101,1193,main
1102,1193,side
1103,1193,side
1104,1193,side
1105,14,appears
1105,1193,primary
1106,1193,primary
1107,1819,primary
1108,1819,primary
1109,1819,primary
1110,1819,primary
1111,1731,primary
1112,1731,primary
1113,1731,primary
1114,1731,primary
1115,1731,primary
1116,1731,primary
1156,96,main
1157,96,primary
1158,96,primary
1159,96,side
1160,96,side
1161,96,primary
1162,96,primary
1163,96,main
1164,96,side
1165,96,side
1166,96,main
1185,87,main
1186,87,primary
1187,87,primary
1188,87,primary
1189,87,primary
1190,87,primary
1198,87,side
1199,87,side
1200,87,side
1201,87,side
1202,87,side
1203,87,side
1204,87,side
1213,943,main
1214,943,side
1215,943,side
1216,943,primary
1217,943,primary
1218,223,primary
1219,223,primary
1220,223,primary
1221,223,primary
1222,223,primary
1229,762,primary
1230,762,primary
1231,762,primary
1232,762,primary
1243,1831,side
1244,1831,primary
1245,1831,primary
1246,1831,primary
1247,1831,primary
1248,1834,primary
1249,1834,primary
1250,1834,primary
1251,1834,primary
1252,1834,primary
1253,1834,primary
1262,1831,side
1263,1831,side
1272,858,primary
1273,858,primary
1274,858,primary
1275,858,primary
1276,858,primary
1277,858,primary
1278,858,primary
1279,858,primary
1280,858,primary
1285,858,primary
1285,858,primary
1286,858,primary
1287,858,side
1288,858,side
1289,858,side
1290,858,side
1291,858,side
1292,1361,appears
1293,1361,appears
1294,1361,primary
1295,1361,primary
1296,1361,primary
1305,1905,main
1306,1905,side
1307,1905,side
1308,1905,side
1309,1905,side
1314,1912,side
1320,858,side
1321,858,main
1322,1912,side
1323,857,primary
1323,858,appears
1324,857,primary
1324,858,appears
1325,857,primary
1325,858,appears
1326,857,primary
1326,858,appears
1327,857,primary
1327,858,appears
1328,857,primary
1328,858,appears
1329,857,primary
1329,858,appears
1330,857,primary
1330,858,appears
1331,857,primary
1331,858,appears
1332,857,primary
1332,857,primary
1332,857,primary
1332,858,appears
1332,858,appears
1333,857,side
1334,857,side
1335,857,side
1335,858,appears
1336,857,side
1337,857,side
1338,857,side
1339,1912,appears
1340,24,primary
1341,24,primary
1342,24,primary
1344,898,main
1345,898,primary
1346,898,primary
1347,1912,side
1348,898,primary
1349,898,primary
1350,898,primary
1351,898,primary
1352,898,side
1353,898,side
1354,898,appears
1355,232,main
1355,1398,main
1356,232,primary
1356,666,appears
1356,1398,primary
1357,232,primary
1357,1398,primary
1358,232,primary
1358,1398,primary
1359,232,primary
1359,1398,primary
1360,232,side
1360,1398,side
1361,232,primary
1361,1398,primary
1367,1912,side
1368,232,primary
1368,1398,primary
1369,232,primary
1369,232,primary
1369,232,side
1369,1398,primary
1370,232,side
1370,1398,side
1371,232,appears
1372,232,side
1372,1398,side
1373,1912,side
1374,57,primary
1374,84,primary
1375,57,primary
1375,84,primary
1376,1052,main
1377,1052,primary
1378,1052,primary
1379,1052,primary
1380,1052,side
1383,57,main
1383,84,main
1384,57,side
1385,57,side
1385,84,appears
1386,57,side
1386,84,side
1387,57,primary
1387,84,primary
1388,1352,main
1389,1352,primary
1390,1905,primary
1391,1905,primary
1392,1905,primary
1393,1905,primary
1394,1905,primary
1395,479,side
1395,491,primary
1402,146,primary
1402,147,primary
1403,667,primary
1404,667,primary
1405,667,side
1406,147,main
1407,146,main
1407,147,main
1408,146,side
1408,147,side
1409,667,side
1410,1052,primary
1411,1052,primary
1412,1052,side
1413,1912,appears
1419,1052,side
1420,1052,side
1421,1052,side
1422,1052,side
1423,1052,side
1424,1052,side
1425,1052,side
1426,1912,appears
1427,1361,side
1428,1361,side
1429,1361,side
1430,1361,side
1431,1905,primary
1432,1905,primary
1433,562,primary
1434,562,primary
1435,1896,main
1436,1896,primary
1437,1912,appears
1438,1912,appears
1439,1498,primary
1440,1498,primary
1441,1498,primary
1442,1498,primary
1443,1498,primary
1444,1498,side
1445,1498,side
1446,1912,appears
1481,1896,primary
1482,153,main
1483,153,primary
1484,153,primary
1485,153,primary
1486,153,side
1492,1615,primary
1493,1615,primary
1494,1615,primary
1495,1615,primary
1503,310,primary
1504,310,primary
1505,310,primary
1509,310,primary
1519,922,main
1519,925,side
1519,926,main
1519,938,side
1520,922,primary
1520,926,primary
1520,938,side
1521,917,primary
1521,922,side
1521,925,side
1533,639,main
1534,639,primary
1535,639,primary
1536,639,primary
1537,1286,main
1538,1286,primary
1539,1286,primary
1540,1286,primary
1541,1286,side
1544,310,primary
1549,573,primary
1549,576,primary
1550,573,primary
1550,576,primary
1551,573,primary
1551,576,primary
1552,573,primary
1552,576,primary
1553,573,primary
1553,576,primary
1554,573,primary
1554,576,primary
1555,573,primary
1555,576,primary
1556,573,side
1556,576,primary
1557,573,side
1557,576,primary
1558,573,side
1558,576,primary
1561,828,main
1561,1375,main
1562,828,primary
1562,1375,primary
1563,828,primary
1563,1375,primary
1564,828,primary
1564,1375,primary
1565,828,primary
1565,1375,primary
1566,897,primary
1567,897,primary
1568,897,primary
1569,897,main
1570,897,primary
1571,897,primary
1572,401,primary
1573,401,primary
1574,401,primary
1575,401,primary
1585,88,side
1585,88,main
1585,88,main
1585,88,main
1586,88,appears
1586,88,primary
1586,88,primary
1586,88,primary
1586,88,primary
1587,1896,primary
1588,1896,primary
1589,1896,primary
1590,1896,primary
1591,1896,primary
1592,88,main
1592,88,appears
1592,88,main
1592,88,main
1592,88,primary
1592,1025,main
1593,88,primary
1593,88,appears
1593,88,primary
1593,88,primary
1593,88,primary
1593,1025,primary
1594,88,primary
1594,88,appears
1594,88,primary
1594,88,primary
1594,88,primary
1595,88,main
1595,88,appears
1595,88,main
1595,88,main
1596,14,main
1596,73,main
1596,1193,side
1597,14,primary
1597,73,side
1597,1193,side
1598,14,primary
1598,73,side
1598,1193,side
1599,14,side
1599,73,main
1599,1193,appears
1600,14,side
1600,1193,appears
1601,14,side
1601,1193,appears
1602,14,side
1602,73,side
1602,1193,appears
1603,14,side
1603,73,side
1603,1193,appears
1604,14,appears
1604,1193,appears
1605,14,appears
1605,1193,appears
1606,14,appears
1606,1193,appears
1607,14,appears
177,9091,side
203,18649,side
203,3987,primary
203,16463,primary
203,20592,primary
203,20591,side
203,13188,appears
233,2341,primary
233,2339,appears
233,2296,appears
550,3770,side
815,6718,primary
1183,4894,primary
2018,3912,primary
2054,138,main
2165,6915,primary
2165,9435,side
2223,4193,primary
2236,18236,primary
2292,2342,appears
2345,8195,main
2370,96,side
2482,5538,primary
2625,3526,side
2744,4123,primary
2805,6318,main
2985,7637,primary
2994,1037,side
3307,590,primary
3741,1027,primary
3741,10797,primary
3842,5300,side
4014,264,primary
4014,273,primary
4014,276,primary
4014,320,primary
4014,407,primary
4014,408,primary
4014,1708,primary
4014,4848,side
4014,3537,primary
4014,5409,primary
4055,266,side
4055,276,side
4055,384,side
4055,407,side
4055,947,side
4055,1910,side
4055,2932,side
4055,16261,side
4055,9836,side
4055,9837,side
4055,5409,side
4281,1230,primary
4289,1766,primary
4904,7381,primary
4981,1270,primary
5058,1402,primary
5294,5937,primary
5459,8424,primary
5590,4939,primary
5610,370,side
5933,174,primary
5933,9853,primary
6017,6746,main
6098,4597,side
6098,8030,primary
6098,11636,side
6155,6436,primary
6177,777,side
6589,7491,primary
6589,10121,primary
6589,3415,primary
6589,7407,appears
6608,1333,side
6674,8447,primary
6690,13,appears
6730,7259,primary
6766,6532,primary
6981,3254,primary
7241,10001,primary
7364,242,side
7752,5119,side
7844,3663,side
8131,298,appears
8150,7119,primary
8159,3401,appears
8159,3168,primary
8265,4933,primary
8600,5569,primary
8600,5569,primary
8600,5569,primary
8750,1281,side
8750,10131,side
8750,11269,primary
8833,862,side
8947,11345,main
9201,252,side
9497,1141,appears
9497,3194,appears
9510,842,primary
9510,1141,main
9510,3194,main
9726,353,primary
9726,354,primary
9730,353,side
9730,354,side
9796,1143,side
9796,20598,side
9796,20599,side
9796,20602,side
9796,20600,side
9796,6245,side
9796,16539,side
9796,20601,side
9811,8436,main
9940,6464,primary
10424,9414,primary
10424,2996,primary
10502,98,primary
10616,7881,primary
10616,10984,primary
10772,3861,side
10956,711,side
10956,1719,appears
10956,19776,side
11013,556,primary
11013,1356,primary
11013,1357,primary
11013,1543,primary
11043,1475,primary
11100,11068,side
11202,372,primary
11418,3059,side
11430,8158,side
11430,12480,appears
11624,547,primary
11718,3333,primary
12081,10557,main
12202,772,primary
12202,2605,primary
12583,8759,primary
12628,323,side
12628,9838,appears
12692,2177,side
12800,2347,primary
12826,17743,primary
12826,6438,side
12937,12529,primary
12938,12529,primary
12987,1023,side
12990,1023,primary
12990,2940,primary
12990,7284,primary
13044,700,side
13082,9198,primary
13256,5482,primary
13578,2815,primary
13617,4142,primary
13679,1531,side
13746,927,primary
13746,1509,primary
13810,12028,side
13823,10115,main
14025,508,appears
14025,643,primary
14025,1716,side
14025,1717,side
14025,1811,appears
14050,789,side
14076,11188,primary
14354,715,side
14738,958,primary
14766,5033,primary
14878,14266,primary
14878,11204,primary
15147,5843,primary
15184,121,side
15244,1528,primary
15337,3587,primary
15630,3589,primary
15735,5365,primary
15832,13292,primary
15944,4573,primary
15944,4572,primary
16032,3479,side
16221,6844,primary
16348,5915,primary
16452,13309,main
16520,13913,side
16520,15493,side
16520,12260,side
16687,13227,primary
17032,14708,primary
17078,13718,side
17234,14081,primary
17399,2529,primary
17580,3611,primary
17592,10694,side
17725,3512,primary
17743,14059,side
17764,6358,primary
17764,9643,primary
17949,1091,side
18320,2613,primary
18478,14575,primary
18800,13631,side
18800,15892,side
18936,2780,primary
18944,5715,primary
19016,294,main
19180,14859,primary
19245,1877,primary
19245,1877,primary
19245,1877,primary
19245,1877,primary
19245,1877,side
19357,2747,side
19762,11650,primary
19871,14777,primary
19901,4573,primary
19910,650,primary
20135,240,primary
20273,6986,primary
20516,2356,side
20613,316,primary
20613,317,side
20682,12604,primary
20700,2239,side
20862,3854,primary
20862,3855,primary
20862,4549,primary
20862,8957,primary
20862,8956,primary
20862,4557,primary
21039,3562,side
21075,7648,primary
21110,4705,primary
21243,15282,primary
21264,13455,primary
21291,3912,side
21320,5711,primary
21534,5082,primary
21663,13094,primary
21694,14572,primary
21795,16037,side
21951,1794,primary
21951,1795,primary
22049,7230,primary
22060,548,main
22060,5844,appears
22081,13948,side
22107,11769,primary
22424,3946,side
22913,14392,primary
22942,14659,primary
23063,13629,primary
23191,15925,primary
23210,15715,primary
23448,14055,primary
23469,14628,primary
24213,11072,side
24331,12893,primary
24331,15283,primary
24358,7722,primary
24397,12767,primary
24566,12383,primary
24633,14892,side
24633,12437,side
24634,16402,primary
24816,11615,primary
24873,4774,side
24953,6679,primary
25039,9849,primary
25064,11725,primary
25262,8704,main
25403,14295,primary
25478,11948,side
25539,2717,primary
25658,1891,primary
25681,2885,primary
25707,9358,primary
25781,7019,side
25848,10838,side
25888,14706,primary
25888,16842,primary
25888,25185,primary
26021,16610,primary
26154,2414,primary
26154,16704,primary
26256,775,primary
26349,14062,side
26363,4986,primary
26363,2996,appears
26592,8089,primary
26624,10209,main
26793,2076,primary
27085,14427,side
27233,505,side
27265,16090,primary
27285,932,side
27313,9258,main
27439,5302,primary
27555,1782,side
27619,2203,primary
27804,6497,main
28042,835,primary
28076,12609,primary
28414,4895,main
28969,1751,primary
28969,1751,primary
28985,12934,primary
29670,1971,primary
29917,3612,appears
29922,6250,side
29922,7616,primary
30130,16770,primary
30234,16106,primary
30461,16951,primary
